variant	unit_id	label
seer katja	SU_0393	Ceer Katja
seer parra	SU_0425	Ceer Pakka
ser	SU_0067	Ceer
serre	SU_0067	Ceer
settak	SU_0406	Settak
siccandrie	SU_0420	Siccandrie
sigok	SU_0476	Sigok
sikka	SU_0417	Sikka
sikka ropia	SU_0409	Sikka Ropij
sikka ropij	SU_0409	Sikka Ropij
sikka-ropy	SU_0409	Sikka Ropij
sjatak	SU_0396	Sjatak
sjouw	SU_0429	Chouw
souratsch candyl	SU_0439	Souratsch Candyl
souratsche ceer	SU_0441	Souratsche Ceer
souratsche ges	SU_0442	Ges Souratsch
stuiver	SU_0037	Stuivers
stuivers	SU_0037	Stuivers
stuks	SU_0292	pees
tacker	SU_0343	Tacker
taille	SU_0032	Taille
talie	SU_0032	Taille
talies	SU_0032	Taille
tampang	SU_0364	Tampang
tang	SU_0428	Tang
tankan	SU_0500	Tankan
tayel	SU_0187	Taël
taël	SU_0187	Taël
tessoe	SU_0432	Tessoe
thail	SU_0187	Taël
thayl	SU_0187	Taël
theil	SU_0187	Taël
thok	SU_0482	Tok
thola	SU_0413	Thola
thola katja	SU_0402	Thola Katja
thola pakka	SU_0397	Thola Pakka
thoman	SU_0450	Thoman
thool	SU_0413	Thola
timmermans cobido	SU_0457	Timmermans Cobido
ting	SU_0095	Gantang
tjaing	SU_0023	Tjajang
tjajang	SU_0023	Tjajang
tjitthur maon	SU_0407	Tjitthur Maon
toelan	SU_0384	Toelang
toelang	SU_0384	Toelang
toembak	SU_0029	Toembak
tok	SU_0482	Tok
tola	SU_0413	Thola
tomb	SU_0510	Tomb
tomb.	SU_0510	Tomb
vaam	SU_0344	Vaam
vadem	SU_0199	Vadem
voet	SU_0360	Voet
voet (japans)	SU_0471	Voet (Japans)
voet rijnlandsch	SU_0027	Rijnlandse Voet
waal	SU_0427	Waal
wackeya	SU_0446	Wackeya
wassa	SU_0430	Wassa
waterloot	SU_0040	Waterloot
wiesch	SU_0488	Wiese
wiese	SU_0488	Wiese
wiese groot	SU_0507	Grote Wiese
wiese klein	SU_0508	Kleine Wiese
winkeliers cobido	SU_0456	Winkeliers Cobido
wisse	SU_0503	Wisse
yard	SU_0431	Yard
yze	SU_0512	Yze
zork	SU_0466	Zork
